[ 2016-10-16T16:44:00+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2016-10-16T16:44:00+08:00 ] /admin.php/Index/login.html | INFO: Run ParseTemplate Behavior [ RunTime:0.004526s ]
[ 2016-10-16T16:44:00+08:00 ] /admin.php/Index/login.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004568s ]
[ 2016-10-16T16:44:00+08:00 ] /admin.php/Index/login.html | INFO: Tag[ view_filter ] --START--
[ 2016-10-16T16:44:00+08:00 ] /admin.php/Index/login.html | INFO: Run ContentReplace Behavior [ RunTime:0.000093s ]
[ 2016-10-16T16:44:00+08:00 ] /admin.php/Index/login.html | INFO: Run TokenBuild Behavior [ RunTime:0.000067s ]
[ 2016-10-16T16:44:00+08:00 ] /admin.php/Index/login.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000029s ]
[ 2016-10-16T16:44:00+08:00 ] /admin.php/Index/login.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000055s ]
[ 2016-10-16T16:44:00+08:00 ] /admin.php/Index/login.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000315s ]
[ 2016-10-16T16:44:00+08:00 ] /admin.php/Index/login.html | INFO: Tag[ view_end ] --START--
[ 2016-10-16T16:44:00+08:00 ] /admin.php/Index/login.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.000038s ]
[ 2016-10-16T16:44:00+08:00 ] /admin.php/Index/login.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.000061s ]
[ 2016-10-16T16:44:00+08:00 ] /admin.php/Index/verify/ | INFO: Tag[ route_check ] --START--
[ 2016-10-16T16:44:00+08:00 ] /admin.php/Index/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.000031s ]
[ 2016-10-16T16:44:00+08:00 ] /admin.php/Index/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.000083s ]
[ 2016-10-16T16:44:00+08:00 ] /admin.php/Index/verify/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-10-16T16:44:00+08:00 ] /admin.php/Index/verify/ | INFO: Tag[ app_begin ] --START--
[ 2016-10-16T16:44:00+08:00 ] /admin.php/Index/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000026s ]
[ 2016-10-16T16:44:00+08:00 ] /admin.php/Index/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000038s ]
[ 2016-10-16T16:44:06+08:00 ] /admin.php/Index/index.html | INFO: Tag[ route_check ] --START--
[ 2016-10-16T16:44:06+08:00 ] /admin.php/Index/index.html | INFO: Run CheckRoute Behavior [ RunTime:0.000035s ]
[ 2016-10-16T16:44:06+08:00 ] /admin.php/Index/index.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000095s ]
[ 2016-10-16T16:44:06+08:00 ] /admin.php/Index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-10-16T16:44:06+08:00 ] /admin.php/Index/index.html | INFO: Tag[ app_begin ] --START--
[ 2016-10-16T16:44:06+08:00 ] /admin.php/Index/index.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000029s ]
[ 2016-10-16T16:44:06+08:00 ] /admin.php/Index/index.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000042s ]
[ 2016-10-16T16:44:06+08:00 ] /admin.php/Index/index.html | INFO: Tag[ view_template ] --START--
[ 2016-10-16T16:44:06+08:00 ] /admin.php/Index/index.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000025s ]
[ 2016-10-16T16:44:06+08:00 ] /admin.php/Index/index.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000042s ]
[ 2016-10-16T16:44:06+08:00 ] /admin.php/Index/index.html | INFO: Tag[ view_parse ] --START--
[ 2016-10-16T16:44:06+08:00 ] /admin.php/Index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-10-16T16:44:06+08:00 ] /admin.php/Index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:44:06+08:00 ] /admin.php/Index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:44:06+08:00 ] /admin.php/Index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:44:06+08:00 ] /admin.php/Index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:44:06+08:00 ] /admin.php/Index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:44:06+08:00 ] /admin.php/Index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:44:06+08:00 ] /admin.php/Index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:44:06+08:00 ] /admin.php/Index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:44:06+08:00 ] /admin.php/Index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:44:06+08:00 ] /admin.php/Index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
