[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | SQL: SELECT COUNT(*) AS tp_count FROM `march_news` WHERE ( `news_type` = 2 ) AND ( `news_date` LIKE '2016-10-13%' ) LIMIT 1   [ RunTime:0.000188s ]
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | SQL: SELECT COUNT(*) AS tp_count FROM `march_notice` WHERE ( `date` LIKE '2016-10-13%' ) AND ( `user_id` = '176' ) LIMIT 1   [ RunTime:0.000186s ]
[ 2016-10-07T19:43:05+08:00 ] /oa.php | SQL: select cl.*,co.* FROM march_user co
				left join march_course cl on  cl.user_phone = co.user_phone
				where co.user_phone=15225961831 [ RunTime:0.000262s ]
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 1 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 2 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 3 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 4 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 1 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 2 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 3 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 4 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 1 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 2 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 3 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 4 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 1 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 2 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 3 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 4 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 1 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 2 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 3 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 4 CourseAction.class.php 第 17 行.
