[ 2016-10-05T15:53:32+08:00 ] /marchsoft.cn/ | INFO: Run ContentReplace Behavior [ RunTime:0.000495s ]
[ 2016-10-05T15:53:32+08:00 ] /marchsoft.cn/ | INFO: Run TokenBuild Behavior [ RunTime:0.000388s ]
[ 2016-10-05T15:53:32+08:00 ] /marchsoft.cn/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000295s ]
[ 2016-10-05T15:53:32+08:00 ] /marchsoft.cn/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000777s ]
[ 2016-10-05T15:53:32+08:00 ] /marchsoft.cn/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002031s ]
[ 2016-10-05T15:53:32+08:00 ] /marchsoft.cn/ | INFO: Tag[ view_end ] --START--
[ 2016-10-05T15:53:32+08:00 ] /marchsoft.cn/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000557s ]
[ 2016-10-05T15:53:32+08:00 ] /marchsoft.cn/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000578s ]
[ 2016-10-05T15:53:36+08:00 ] /marchsoft.cn/index.php/Index/home | INFO: Tag[ route_check ] --START--
[ 2016-10-05T15:53:36+08:00 ] /marchsoft.cn/index.php/Index/home | INFO: Run CheckRoute Behavior [ RunTime:0.164976s ]
[ 2016-10-05T15:53:36+08:00 ] /marchsoft.cn/index.php/Index/home | INFO: Tag[ route_check ] --END-- [ RunTime:0.165062s ]
[ 2016-10-05T15:53:36+08:00 ] /marchsoft.cn/index.php/Index/home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-10-05T15:53:36+08:00 ] /marchsoft.cn/index.php/Index/home | INFO: Tag[ app_begin ] --START--
[ 2016-10-05T15:53:36+08:00 ] /marchsoft.cn/index.php/Index/home | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000075s ]
[ 2016-10-05T15:53:36+08:00 ] /marchsoft.cn/index.php/Index/home | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000102s ]
[ 2016-10-05T15:53:37+08:00 ] /marchsoft.cn/index.php/Index/home | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2016-10-05T15:53:37+08:00 ] /marchsoft.cn/index.php/Index/home | SQL: SHOW COLUMNS FROM `march_intro` [ RunTime:0.000354s ]
[ 2016-10-05T15:53:37+08:00 ] /marchsoft.cn/index.php/Index/home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-10-05T15:53:37+08:00 ] /marchsoft.cn/index.php/Index/home | SQL: SELECT `intro_content` FROM `march_intro` WHERE idmarch_intro = '1'  [ RunTime:0.000164s ]
[ 2016-10-05T15:53:37+08:00 ] /marchsoft.cn/index.php/Index/home | SQL: SHOW COLUMNS FROM `march_news` [ RunTime:0.000233s ]
[ 2016-10-05T15:53:37+08:00 ] /marchsoft.cn/index.php/Index/home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-10-05T15:53:37+08:00 ] /marchsoft.cn/index.php/Index/home | SQL: SELECT * FROM `march_news` WHERE news_type = '1' ORDER BY idmarch_news DESC LIMIT 6   [ RunTime:0.016931s ]
[ 2016-10-05T15:53:37+08:00 ] /marchsoft.cn/index.php/Index/home | SQL: SHOW COLUMNS FROM `march_project` [ RunTime:0.000350s ]
[ 2016-10-05T15:53:37+08:00 ] /marchsoft.cn/index.php/Index/home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-10-05T15:53:37+08:00 ] /marchsoft.cn/index.php/Index/home | SQL: SELECT * FROM `march_project` ORDER BY idmarch_project DESC LIMIT 6   [ RunTime:0.000120s ]
[ 2016-10-05T15:53:37+08:00 ] /marchsoft.cn/index.php/Index/home | SQL: SHOW COLUMNS FROM `march_article` [ RunTime:0.000242s ]
