[ 2016-09-19T21:50:20+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-19T21:50:20+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-19T21:50:20+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 220 行.
[ 2016-09-19T21:50:20+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2016-09-19T21:50:20+08:00 ] /index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.002407s ]
[ 2016-09-19T21:50:20+08:00 ] /index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.002476s ]
[ 2016-09-19T21:50:20+08:00 ] /index.php | INFO: Tag[ view_filter ] --START--
[ 2016-09-19T21:50:20+08:00 ] /index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000058s ]
[ 2016-09-19T21:50:20+08:00 ] /index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000039s ]
[ 2016-09-19T21:50:20+08:00 ] /index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000018s ]
[ 2016-09-19T21:50:20+08:00 ] /index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000039s ]
[ 2016-09-19T21:50:20+08:00 ] /index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000200s ]
[ 2016-09-19T21:50:20+08:00 ] /index.php | INFO: Tag[ view_end ] --START--
[ 2016-09-19T21:50:20+08:00 ] /index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000024s ]
[ 2016-09-19T21:50:20+08:00 ] /index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000040s ]
[ 2016-09-19T21:50:20+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-09-19T21:50:20+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000108s ]
[ 2016-09-19T21:50:20+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000259s ]
[ 2016-09-19T21:50:20+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2016-09-19T21:50:20+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000056s ]
[ 2016-09-19T21:50:20+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000085s ]
[ 2016-09-19T21:50:20+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2016-09-19T21:50:20+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
