[ 2016-10-07T18:55:37+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | INFO: Tag[ route_check ] --START--
[ 2016-10-07T18:55:37+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | INFO: Run CheckRoute Behavior [ RunTime:0.000045s ]
[ 2016-10-07T18:55:37+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000109s ]
[ 2016-10-07T18:55:37+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-10-07T18:55:37+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | INFO: Tag[ app_begin ] --START--
[ 2016-10-07T18:55:37+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000028s ]
[ 2016-10-07T18:55:37+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000041s ]
[ 2016-10-07T18:55:37+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2016-10-07T18:55:37+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | SQL: SHOW COLUMNS FROM `march_lecture` [ RunTime:0.000305s ]
[ 2016-10-07T18:55:37+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-10-07T18:55:37+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | SQL: SELECT * FROM `march_lecture` ORDER BY idmarch_lecture desc LIMIT 10   [ RunTime:0.000035s ]
[ 2016-10-07T18:55:37+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | INFO: Tag[ view_template ] --START--
[ 2016-10-07T18:55:37+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000030s ]
[ 2016-10-07T18:55:37+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000044s ]
[ 2016-10-07T18:55:37+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | INFO: Tag[ view_parse ] --START--
[ 2016-10-07T18:55:37+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-10-07T18:55:37+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-07T18:55:37+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-07T18:55:37+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-07T18:55:37+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-07T18:55:37+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-07T18:55:37+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-10-07T18:55:37+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-07T18:55:37+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-07T18:55:37+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-07T18:55:37+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-07T18:55:37+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
