[ 2016-09-14T02:24:28+08:00 ] /index.php/Knowledge/klist?sort=1111111115&p=4 | INFO: Tag[ route_check ] --START--
[ 2016-09-14T02:24:28+08:00 ] /index.php/Knowledge/klist?sort=1111111115&p=4 | INFO: Run CheckRoute Behavior [ RunTime:0.000068s ]
[ 2016-09-14T02:24:28+08:00 ] /index.php/Knowledge/klist?sort=1111111115&p=4 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000174s ]
[ 2016-09-14T02:24:28+08:00 ] /index.php/Knowledge/klist?sort=1111111115&p=4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-09-14T02:24:28+08:00 ] /index.php/Knowledge/klist?sort=1111111115&p=4 | INFO: Tag[ app_begin ] --START--
[ 2016-09-14T02:24:28+08:00 ] /index.php/Knowledge/klist?sort=1111111115&p=4 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000052s ]
[ 2016-09-14T02:24:28+08:00 ] /index.php/Knowledge/klist?sort=1111111115&p=4 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000073s ]
[ 2016-09-14T02:24:28+08:00 ] /index.php/Knowledge/klist?sort=1111111115&p=4 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2016-09-14T02:24:28+08:00 ] /index.php/Knowledge/klist?sort=1111111115&p=4 | SQL: SHOW COLUMNS FROM `march_article` [ RunTime:0.011847s ]
[ 2016-09-14T02:24:28+08:00 ] /index.php/Knowledge/klist?sort=1111111115&p=4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-09-14T02:24:28+08:00 ] /index.php/Knowledge/klist?sort=1111111115&p=4 | SQL: SELECT COUNT(*) AS tp_count FROM `march_article` WHERE ( march_article.article_sort = '1111111115' ) LIMIT 1   [ RunTime:0.011711s ]
[ 2016-09-14T02:24:28+08:00 ] /index.php/Knowledge/klist?sort=1111111115&p=4 | NOTIC: [8] Undefined index: header Page.class.php 第 137 行.
[ 2016-09-14T02:24:28+08:00 ] /index.php/Knowledge/klist?sort=1111111115&p=4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-09-14T02:24:28+08:00 ] /index.php/Knowledge/klist?sort=1111111115&p=4 | SQL: SELECT march_user.user_name,march_article.article_title,march_article.article_id,march_article.article_time,march_article.article_tags,march_article.article_num,march_sort.sort_name,march_user_info.avator,march_user_info.blog,march_article.article_content FROM `march_article` LEFT JOIN march_user ON march_user.user_phone = march_article.user_phone LEFT JOIN march_user_info ON march_user_info.user_phone = march_article.user_phone LEFT JOIN march_sort ON march_article.article_sort=march_sort.idmarch_sort WHERE ( march_article.article_sort = '1111111115' ) ORDER BY march_article.article_id desc LIMIT 30,10   [ RunTime:0.047292s ]
[ 2016-09-14T02:24:28+08:00 ] /index.php/Knowledge/klist?sort=1111111115&p=4 | NOTIC: [8192] Function split() is deprecated KnowledgeAction.class.php 第 138 行.
[ 2016-09-14T02:24:28+08:00 ] /index.php/Knowledge/klist?sort=1111111115&p=4 | NOTIC: [8192] Function split() is deprecated KnowledgeAction.class.php 第 138 行.
[ 2016-09-14T02:24:28+08:00 ] /index.php/Knowledge/klist?sort=1111111115&p=4 | NOTIC: [8192] Function split() is deprecated KnowledgeAction.class.php 第 138 行.
[ 2016-09-14T02:24:28+08:00 ] /index.php/Knowledge/klist?sort=1111111115&p=4 | NOTIC: [8192] Function split() is deprecated KnowledgeAction.class.php 第 138 行.
[ 2016-09-14T02:24:28+08:00 ] /index.php/Knowledge/klist?sort=1111111115&p=4 | NOTIC: [8192] Function split() is deprecated KnowledgeAction.class.php 第 138 行.
[ 2016-09-14T02:24:28+08:00 ] /index.php/Knowledge/klist?sort=1111111115&p=4 | NOTIC: [8192] Function split() is deprecated KnowledgeAction.class.php 第 138 行.
[ 2016-09-14T02:24:28+08:00 ] /index.php/Knowledge/klist?sort=1111111115&p=4 | NOTIC: [8192] Function split() is deprecated KnowledgeAction.class.php 第 138 行.
[ 2016-09-14T02:24:28+08:00 ] /index.php/Knowledge/klist?sort=1111111115&p=4 | NOTIC: [8192] Function split() is deprecated KnowledgeAction.class.php 第 138 行.
[ 2016-09-14T02:24:28+08:00 ] /index.php/Knowledge/klist?sort=1111111115&p=4 | NOTIC: [8192] Function split() is deprecated KnowledgeAction.class.php 第 138 行.
